Data_Field	Independent_Var	Samples	-log(p)	p-val	beta	std_error
Lymphocyte count	Body mass index (BMI)	933/969	1.2379714250527314	0.05781340852077565	0.008827394148301948	0.004646896632674711
Had other major operations	Body mass index (BMI)	528/969	1.1675914648226366	0.06798428512562965	0.008536134691578892	0.004666651274234288
Cystatin C	Overall acceleration average	215/969	1.1633692169840855	0.0686484574581769	0.002388955024862579	0.0013040011958490563
Trunk fat-free mass	Overall acceleration average	215/969	1.1569792886704116	0.06966597367418974	-0.08123634953155762	0.04452560071297831
Shortness of breath walking on level ground	Overall acceleration average	215/969	1.1488643543945352	0.07097994289396554	0.0077428360784430016	0.004215737483117459
Tinnitus	Overall acceleration average	215/969	1.1429407699794076	0.07195471047023226	0.12568255448470295	0.06865338291582833
Reported occurrences of cancer	Overall acceleration average	178/969	1.1426133382209176	0.07200898042322419	0.024837694321488652	0.01326465141028349
Chest pain or discomfort walking normally	Overall acceleration average	155/969	1.14063597692616	0.07233758789585251	0.01448034374832001	0.007671169811697706
Hip circumference	Overall acceleration average	215/969	1.1236474558532534	0.07522332813074047	-0.11918517617801053	0.06662274397895368
Testosterone	Overall acceleration average	215/969	1.0834319984901597	0.08252166871839683	-0.08700745354726425	0.04978173447516515
Leg pain on walking	Body mass index (BMI)	309/969	1.054906929428315	0.0881237704579051	-0.008344783617286328	0.004876259500292141
Arm fat mass (right)	Overall acceleration average	215/969	1.0470750327948546	0.08972737596639639	0.008813215254481909	0.005166824798775638
Cholesterol	Body mass index (BMI)	910/969	1.0341716328126205	0.09243328062017703	-0.01364850243162969	0.00810190257738445
Triglycerides	Overall acceleration average	215/969	1.0266298111127137	0.09405246641305186	-0.01144801377233846	0.006799942194170877
Creatinine	Body mass index (BMI)	909/969	1.0229754103375528	0.0948472164075553	-0.19854732656251084	0.11873120616254376
Hospital episode type	Body mass index (BMI)	693/969	1.017325091434562	0.0960892732190126	0.0008195616300838932	0.0004917712050590823
Impedance of arm (left)	Overall acceleration average	215/969	1.014336056268141	0.0967528894454071	0.7169689249138852	0.4295309114868951
Hearing difficulty/problems with background noise	Body mass index (BMI)	967/969	0.9678280768842284	0.10768914356924106	0.005641093315637351	0.0035031811845134975
Had major operations	Body mass index (BMI)	440/969	0.9178993267752866	0.12080938492748644	-0.00937426498727344	0.006029678363578419
Medication for cholesterol, blood pressure or diabetes	Body mass index (BMI)	433/969	0.8740697448861563	0.13363808851820055	0.06031970155351599	0.04013328507717567
Operation code	Body mass index (BMI)	758/969	0.8738040957881281	0.1337198572234017	-126.47739403562161	84.24411705495284
Interpolated Year when operation took place	Body mass index (BMI)	760/969	0.8737734557285156	0.1337292916719194	2.1420258481336703	1.4267938544846082
Alkaline phosphatase	Body mass index (BMI)	910/969	0.8728889236072076	0.13400193707695013	-0.25099380325329573	0.16733504751292913
Neck/shoulder pain for 3+ months	Overall acceleration average	215/969	0.8710161567664215	0.1345810285846911	0.012322616175591222	0.008044946103480836
Hip pain for 3+ months	Body mass index (BMI)	113/969	0.8594982166728391	0.13819800806626759	-0.015525735607431292	0.010387845119278132
High light scatter reticulocyte percentage	Body mass index (BMI)	915/969	0.853084958985738	0.14025393055590368	-0.0021206668867905986	0.0014365474859922049
Forced vital capacity (FVC)	Overall acceleration average	215/969	0.8315552641967524	0.1473820984560525	-0.027198046795882294	0.01868570291629822
Interpolated Year when non-cancer illness first diagnosed	Body mass index (BMI)	714/969	0.828819594207873	0.14831340506225218	-5.30194341400164	3.663605069893283
Sitting height	Overall acceleration average	215/969	0.8260384698311906	0.1492662183617261	0.05219129858509427	0.03604145484002729
Reticulocyte percentage	Body mass index (BMI)	916/969	0.8053980339228427	0.1565315789643539	-0.00556392824317066	0.003923542338270977
Leg predicted mass (right)	Body mass index (BMI)	956/969	0.8039133758052465	0.1570676059478049	0.018572757606786144	0.01311448885076517
Weight change compared with 1 year ago	Overall acceleration average	215/969	0.7904250425772189	0.16202236136348916	0.013267084558995258	0.009450706702740433
Fracture resulting from simple fall	Overall acceleration average	100/969	0.7770004278008423	0.16710889682073143	-0.019326787037109952	0.013453622859951785
Neck/shoulder pain for 3+ months	Body mass index (BMI)	219/969	0.7745389344935157	0.16805872543339068	-0.008772274152409006	0.00633962452162646
Apolipoprotein B	Body mass index (BMI)	905/969	0.7490524623516797	0.17821634708278855	-0.002288473799725358	0.0016984362417924173
Trunk predicted mass	Body mass index (BMI)	955/969	0.7441116625695341	0.18025542219287935	-0.05377778487039735	0.040101909842216815
Glycated haemoglobin (HbA1c)	Body mass index (BMI)	900/969	0.7404670055459924	0.18177451495621347	0.06084329469417803	0.045526775633452705
Heel bone mineral density (BMD) T-score, automated (left)	Body mass index (BMI)	291/969	0.7253148032759247	0.18822841998424678	-0.018883998811869848	0.01431404586325793
Peak expiratory flow (PEF)	Overall acceleration average	215/969	0.7190742083471189	0.1909526947844761	-1.3870868341927776	1.0566159889996625
Nucleated red blood cell count	Overall acceleration average	215/969	0.7108778389799519	0.19459073614256492	0.0005812486590340219	0.0004464475027984071
Impedance of leg (left)	Overall acceleration average	215/969	0.7099319608897	0.19501500977322384	0.355654179935504	0.27347090582872224
Weight	Overall acceleration average	215/969	0.6981754881445004	0.20036622311742375	-0.15473048179389345	0.12041320377701609
Mean corpuscular haemoglobin concentration	Overall acceleration average	215/969	0.6898013453269441	0.20426720886196043	0.009375203676198254	0.007358679879882608
Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor	Body mass index (BMI)	967/969	0.681163844868398	0.20837046223175656	0.061024849905525216	0.04847223230739781
Lipoprotein A	Overall acceleration average	215/969	0.6796783810183261	0.20908439427516182	-0.4095095366961839	0.32455066123022397
Hip pain for 3+ months	Overall acceleration average	113/969	0.6768442369495877	0.21045331113828322	0.02445619707008989	0.01773949816699012
Systolic blood pressure, automated reading	Body mass index (BMI)	909/969	0.6763903159013106	0.21067339021400092	0.18085553108794294	0.14437596522574306
Arm fat-free mass (right)	Body mass index (BMI)	956/969	0.6568038977664502	0.22039214016613726	-0.006845348799640006	0.005581889110578483
Red blood cell (erythrocyte) count	Body mass index (BMI)	935/969	0.6499916234433348	0.22387643188437212	0.0034026842921462824	0.0027956069801183844
Lymphocyte count	Overall acceleration average	215/969	0.6493316044309978	0.22421692674603705	-0.005570994148961219	0.004568276106550204
Trunk fat percentage	Body mass index (BMI)	955/969	0.6446831108939677	0.22662973403213327	0.06976551688399603	0.05766089996170065
Total protein	Overall acceleration average	215/969	0.6376870012821189	0.23031010786017211	-0.03853405262715062	0.032003305284724025
Fractured/broken bones in last 5 years	Overall acceleration average	215/969	0.6364902465631711	0.23094563243800892	0.0036909699135286187	0.0030711547054347323
Pain type(s) experienced in last month	Body mass index (BMI)	967/969	0.6305848224583748	0.234107419314101	-0.04195249265596932	0.03523505624379172
Chest pain or discomfort walking normally	Body mass index (BMI)	155/969	0.6298357203131337	0.23451157297021893	0.00982428649120014	0.008226705913673445
Other serious medical condition/disability diagnosed by doctor	Overall acceleration average	215/969	0.6225342876942686	0.23848755013156084	-0.003389967910852842	0.0028667480153420372
Chest pain or discomfort	Body mass index (BMI)	967/969	0.6180824642349539	0.24094478770727726	-0.0031552017787231704	0.0026889294655099076
Arm fat-free mass (right)	Overall acceleration average	215/969	0.6177174971420819	0.24114735504904078	-0.007544747279093117	0.006416604774995571
Other eye problems	Body mass index (BMI)	967/969	0.6109439169725032	0.24493795243574346	-0.0033960954830545165	0.00291887308096474
Leg fat mass (left)	Overall acceleration average	215/969	0.6090573752067439	0.24600425832653455	0.015354272996930655	0.013193683876444073
Intended management of patient (recoded)	Body mass index (BMI)	727/969	0.6025281463510002	0.2497306535050543	1.5922233134717438	1.3821308802500918
Diastolic blood pressure, automated reading	Body mass index (BMI)	908/969	0.6012951058008579	0.2504406914652172	-0.08165922696723726	0.07100368499751143
Heel bone mineral density (BMD) T-score, automated	Overall acceleration average	215/969	0.5995406487263304	0.25145446477651817	-0.013087452574814796	0.011349594242739427
Wheeze or whistling in the chest in last year	Overall acceleration average	215/969	0.5976670288147269	0.2525416253144785	0.004340661026450624	0.003782040163072714
High light scatter reticulocyte percentage	Overall acceleration average	215/969	0.5959617794443405	0.2535351747052965	-0.001810663744165822	0.0015806015202913973
Methods of admission to hospital (polymorphic)	Body mass index (BMI)	796/969	0.591630958212028	0.2560760969576744	0.03240201821581282	0.02850785397039921
Arm fat-free mass (left)	Body mass index (BMI)	956/969	0.5889793220873081	0.25764438254094374	0.006566988230014916	0.005797613092747478
Heel bone mineral density (BMD) T-score, automated (right)	Body mass index (BMI)	290/969	0.5857478356674308	0.25956860574228163	0.01642249531017801	0.01453510421734841
Basophill percentage	Overall acceleration average	215/969	0.5772871402830737	0.2646749621937531	-0.003186458402615725	0.002848002432545394
Hearing aid user	Overall acceleration average	215/969	0.5625101434447977	0.2738355676085819	0.0022185152609520108	0.002016468835235831
Pregnant	Overall acceleration average	215/969	0.554601826172228	0.2788676736980439	0.001911588462951494	0.0017566654310209634
Mean sphered cell volume	Body mass index (BMI)	915/969	0.5531741141491223	0.27978593975437094	0.03886677967469499	0.035938123863924386
Apolipoprotein A	Body mass index (BMI)	827/969	0.5531488601241915	0.279802209651481	0.0021050064412983403	0.001946331616790466
Hand grip strength (right)	Body mass index (BMI)	966/969	0.5529442597537357	0.27993405825931056	-0.08299682741264397	0.07676920982175287
Standing height	Overall acceleration average	215/969	0.5519066935228478	0.28060364391895215	-0.08490440317599994	0.07846538126975998
Had major operations	Overall acceleration average	215/969	0.5492355670178213	0.2823348138482747	0.008650132652056402	0.007988906832227518
Number of treatments/medications taken	Body mass index (BMI)	967/969	0.5455240740560519	0.2847579947145029	-0.02001862887765798	0.01870321531756446
Arm predicted mass (left)	Body mass index (BMI)	956/969	0.5428205838965287	0.28653614659772036	0.005817096317072884	0.005454926786972284
Eye problems/disorders	Body mass index (BMI)	335/969	0.5421311425713881	0.2869913832097313	-0.051661084714017196	0.048435101539030946
Chest pain or discomfort when walking uphill or hurrying	Overall acceleration average	122/969	0.5387132639957098	0.28925890378242386	-0.016721450265380938	0.01522052253957292
Arm predicted mass (left)	Overall acceleration average	215/969	0.53684318512218	0.29050714271368105	-0.00644109150299438	0.006076442743116541
Vitamin and mineral supplements	Body mass index (BMI)	959/969	0.5368201989267513	0.2905225189870476	-0.04117445285567581	0.03893181221177784
Phosphate	Overall acceleration average	215/969	0.535844869946964	0.29117570123649306	-0.0014284170350644713	0.0013487790695712795
HDL cholesterol	Body mass index (BMI)	829/969	0.5334001359263563	0.292819411910207	0.002692537774505123	0.002557789786575391
Leg predicted mass (right)	Overall acceleration average	215/969	0.5324644839777168	0.29345094744063654	-0.01560717849079029	0.014813748928413749
Haematocrit percentage	Body mass index (BMI)	935/969	0.5305869449749196	0.29472233887144894	-0.02579581562795757	0.024603703915507525
Behaviour of cancer tumour	Overall acceleration average	171/969	0.5300130733717462	0.2951120389077555	-0.02212002260298153	0.020732192764324968
Arm fat percentage (left)	Overall acceleration average	215/969	0.5272758889699249	0.29697788571094863	0.08320850467280856	0.07955905636809606
Impedance of leg (left)	Body mass index (BMI)	956/969	0.5237964894287575	0.29936671416181254	-0.25990121654814735	0.2502901729736439
Platelet count	Overall acceleration average	215/969	0.5207959263388362	0.3014422159280422	-0.46700111567520264	0.4506614976035836
Hand grip strength (left)	Body mass index (BMI)	965/969	0.5182767942748401	0.30319581728538075	-0.08067813438230856	0.0783133017104476
Methods of admission to hospital (recoded)	Overall acceleration average	215/969	0.5175876046252961	0.30367734610101915	2.728537883077638	2.643862026485575
Pulse rate, automated reading	Overall acceleration average	215/969	0.5127041857723956	0.30711131262386115	-0.09144992506931404	0.08927963158753316
Alkaline phosphatase	Overall acceleration average	215/969	0.5092570492002786	0.3095586548375498	-0.20002613088391374	0.19628852703649563
Non-cancer illness code, self-reported	Body mass index (BMI)	714/969	0.5081802161104436	0.31032715782437514	-115.1122411703485	113.37561885514265
SHBG	Body mass index (BMI)	823/969	0.5072283298072909	0.31100807859252194	-0.19972186305557832	0.19700617049394223
Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor	Overall acceleration average	215/969	0.5047806041385299	0.31276589914832187	-0.05487156425252968	0.05421350258583149
Basophill count	Body mass index (BMI)	932/969	0.4985246909547582	0.3173038261886402	0.0003130384066925684	0.0003128527182992602
Treatment/medication code	Body mass index (BMI)	683/969	0.4976782073963435	0.3179228863197043	2585450.3416233794	2586685.038083024
Whole body fat mass	Body mass index (BMI)	957/969	0.49471515915867	0.3200993858085188	0.0673174137545467	0.06766861571117014
Total protein	Body mass index (BMI)	829/969	0.49072326199076366	0.32305520151276745	-0.0300440371347969	0.030383310594266962
Fractured bone site(s)	Body mass index (BMI)	100/969	0.4901386131426883	0.3234903924896577	0.05153167827923813	0.0518943699148632
Back pain for 3+ months	Body mass index (BMI)	260/969	0.4853059340108412	0.32711018449649487	-0.006754452891603044	0.006878448958325535
Pain type(s) experienced in last month	Overall acceleration average	215/969	0.4778485233314515	0.33277560116418325	-0.03779268054924438	0.03891976439573534
Knee pain for 3+ months	Overall acceleration average	215/969	0.47734497060033415	0.33316166926737567	0.005971064392065088	0.0061004927759989004
Eosinophill percentage	Body mass index (BMI)	932/969	0.46543307232413245	0.34242615371439067	0.010598222556382835	0.011157139469066367
Overall health rating	Overall acceleration average	215/969	0.4644921146319313	0.3431688705647624	-0.006018852167250934	0.006333402993185047
Systolic blood pressure, automated reading	Overall acceleration average	215/969	0.46154675219912616	0.34550413373905564	-0.1506142560109699	0.15922862687813433
Red blood cell (erythrocyte) count	Overall acceleration average	215/969	0.45628551133918027	0.34971518372803334	-0.0028337029202696457	0.0030225211553340514
Number of self-reported non-cancer illnesses	Overall acceleration average	215/969	0.45598963303359313	0.34995352060695994	0.013820121202353732	0.014749304091583558
Intended management of patient (polymorphic)	Body mass index (BMI)	727/969	0.45506880634203806	0.3506963078730634	0.011625351170688952	0.012448276072279295
Alanine aminotransferase	Body mass index (BMI)	909/969	0.451503782622979	0.353586941411443	0.09043727742666874	0.09743642914425374
Aspartate aminotransferase	Body mass index (BMI)	908/969	0.4508244351964506	0.35414047446407837	0.05907991414539076	0.06372544546358087
Apolipoprotein A	Overall acceleration average	215/969	0.4505875924150359	0.35433365787636795	-0.0019329068624953333	0.0020811159335848563
Arm fat mass (left)	Overall acceleration average	215/969	0.4500081053517917	0.35480676732005034	-0.004425704750682167	0.004771094877259917
C-reactive protein	Overall acceleration average	215/969	0.44698497040179574	0.35728520248153794	-0.02960988132432134	0.032083337909761804
Reticulocyte count	Body mass index (BMI)	915/969	0.4466400531549863	0.3575690715673644	-0.00016724075446941994	0.00018168308345825257
Number of self-reported cancers	Body mass index (BMI)	967/969	0.4453590793640047	0.35862529676499955	0.0021737367363728723	0.002366721881955723
Chest pain or discomfort when walking uphill or hurrying	Body mass index (BMI)	122/969	0.4430253546833075	0.3605575925804879	0.00842603503646881	0.009176271665972362
Red blood cell (erythrocyte) distribution width	Overall acceleration average	215/969	0.4421850461436848	0.36125590430385834	0.007627721509798523	0.008333526567186934
Ever had prostate specific antigen (PSA) test	Overall acceleration average	215/969	0.4373615049348052	0.3652905986391096	0.006712838427478167	0.007374163636870359
Mean platelet (thrombocyte) volume	Body mass index (BMI)	935/969	0.43728013584001996	0.3653590456289548	0.006906002014921482	0.0076252466963575285
LDL direct	Body mass index (BMI)	909/969	0.42569442811100394	0.37523692806729825	-0.0053125468254950955	0.005988154901181304
Gamma glutamyltransferase	Body mass index (BMI)	910/969	0.41822245296439275	0.38174868263348316	-0.21517408656263953	0.24587446392598783
Mean corpuscular haemoglobin concentration	Body mass index (BMI)	935/969	0.41780067214442285	0.3821196117883212	-0.0057190144025709945	0.0065401929986383354
Diabetes diagnosed by doctor	Overall acceleration average	215/969	0.4139906484115068	0.3854866581944121	0.0014809965603864847	0.0017025706183609577
Reason for glasses/contact lenses	Overall acceleration average	190/969	0.413638450922293	0.3857994010566467	-0.024400235316083596	0.027737516504882823
Trunk fat-free mass	Body mass index (BMI)	955/969	0.40776827643753794	0.3910494897635981	-0.03506494812525315	0.040861787016661405
Histology of cancer tumour	Body mass index (BMI)	165/969	0.40535743255474466	0.3932263095674736	5.2358800611507235	6.114044832830408
Destinations on discharge from hospital (recoded)	Body mass index (BMI)	788/969	0.4014850702699629	0.3967481676986	-1.6397630211788832	1.9338164780820708
Treatment/medication code	Overall acceleration average	215/969	0.39884566565380813	0.39916672822832244	2911800.8360336823	3442938.726508407
Long-standing illness, disability or infirmity	Overall acceleration average	215/969	0.39320738932634425	0.40438274005784924	0.0029927602665797523	0.0035811709331201734
Monocyte count	Overall acceleration average	215/969	0.3911094921533629	0.4063408716213107	0.0021635438879530093	0.0025995998517069968
Ever had bowel cancer screening	Body mass index (BMI)	967/969	0.3843449769191058	0.412719532646318	0.0027906582643902303	0.0034053229079477098
Diastolic blood pressure, automated reading	Overall acceleration average	215/969	0.381313388039639	0.4156105965627511	0.0691416769791342	0.08473380465476683
Impedance of leg (right)	Overall acceleration average	215/969	0.37735424526553885	0.41941673464041096	-0.1999919825070279	0.2471415124746238
Other serious medical condition/disability diagnosed by doctor	Body mass index (BMI)	967/969	0.37364002382970385	0.42301909927018055	0.0024093674244460832	0.0030058433078524248
Creatinine	Overall acceleration average	215/969	0.3695409069446022	0.4270306947903666	0.0806224397963599	0.10126963396744787
Arm predicted mass (right)	Body mass index (BMI)	956/969	0.3684890053738753	0.42806625640101104	0.004216588905166034	0.005318144469159556
Apolipoprotein B	Overall acceleration average	215/969	0.35954690654168564	0.43697148084736004	-0.0015848458742495262	0.0020340844347516616
Heel bone mineral density (BMD) T-score, automated (right)	Overall acceleration average	215/969	0.3584095947463521	0.43811730271271077	-0.014835419966942287	0.018998880281605977
Cancer diagnosed by doctor	Overall acceleration average	215/969	0.3579378843679965	0.4385934237838731	0.0022976815703164323	0.002960083455495477
Mineral and other dietary supplements	Body mass index (BMI)	959/969	0.3556698183935186	0.4408899320565032	-0.021884118244847657	0.028382711920181027
Knee pain for 3+ months	Body mass index (BMI)	223/969	0.3542560821555715	0.4423274766329005	-0.005262705546166152	0.006836400027195091
Arm fat-free mass (left)	Overall acceleration average	215/969	0.3521405439294709	0.44448740168719614	0.004815714205590243	0.00628469445296771
Neutrophill percentage	Body mass index (BMI)	933/969	0.34832890618699036	0.4484056682328944	-0.042418686623675095	0.05593024542963305
Method of recording time when operation occurred	Overall acceleration average	215/969	0.34829162266099617	0.44844416483535754	-0.003907232722706637	0.005140195392462281
Platelet distribution width	Body mass index (BMI)	937/969	0.34791527602409517	0.44883294159204157	0.002754727662760457	0.0036356177646521097
Whole body water mass	Body mass index (BMI)	956/969	0.34608049415304953	0.45073315582594753	-0.043884581559640125	0.058161688194245435
Aspartate aminotransferase	Overall acceleration average	215/969	0.3446723459924294	0.4521969762793109	0.05862794296918651	0.07781644414090118
Urate	Body mass index (BMI)	909/969	0.34416890716621584	0.45272147181090716	0.42484709524959074	0.565531958037926
Most recent bowel cancer screening	Body mass index (BMI)	284/969	0.34327221259827656	0.45365717852304166	0.06673216631660031	0.08891869655326262
Lymphocyte percentage	Overall acceleration average	215/969	0.3429585905318471	0.45398490151309834	0.03968625181409593	0.05288887830152548
Leg fat percentage (left)	Body mass index (BMI)	956/969	0.3423254734457981	0.4546472060487543	0.05588203596914466	0.074706745572787
Spells in hospital	Overall acceleration average	215/969	0.3420678230190719	0.4549170109985624	0.03952418064107971	0.05273487921969767
Methods of discharge from hospital (polymorphic)	Overall acceleration average	215/969	0.34106915698254114	0.455964302488731	-0.013437958267276767	0.01797817873518702
Destinations on discharge from hospital (polymorphic)	Body mass index (BMI)	788/969	0.33837211810164985	0.4588047250684607	0.02148153212449727	0.028981807674831335
Neutrophill count	Body mass index (BMI)	933/969	0.33661235043857074	0.46066758020877097	-0.0073758824335573995	0.009993377206853733
Spells in hospital	Body mass index (BMI)	641/969	0.32833810991585444	0.46952842578946674	-0.03730220131715578	0.05154299171455013
Method of recording time when non-cancer illness first diagnosed	Overall acceleration average	215/969	0.32179642984754453	0.4766543602696657	0.005505521969447123	0.007714995063958779
Main speciality of consultant (recoded)	Overall acceleration average	215/969	0.32136493316062087	0.47712817929012197	1.4677812012640539	2.059047025684846
Arm fat percentage (left)	Body mass index (BMI)	956/969	0.3118322093493773	0.48771688422380266	-0.049693244995850185	0.07157986958447542
Administrative and legal statuses	Overall acceleration average	215/969	0.3108458623501052	0.48882582020189935	-0.011986563391238707	0.017215599603045778
Had other major operations	Overall acceleration average	215/969	0.30375468451543575	0.49687290571662945	0.0035898253266618825	0.005265295077574147
Eosinophill percentage	Overall acceleration average	215/969	0.30351992781367865	0.49714156161935474	-0.008435613704585038	0.012398345559820308
Time since last prostate specific antigen (PSA) test	Body mass index (BMI)	138/969	0.30054088324448425	0.5005634286965814	0.05962943032193851	0.08825502936922278
Heel bone mineral density (BMD) T-score, automated (left)	Overall acceleration average	215/969	0.30053184549062745	0.500573845628685	-0.011096933619219942	0.016324863930509487
Sources of admission to hospital (recoded)	Body mass index (BMI)	795/969	0.2983470413567477	0.503098426063137	-1.329623989315936	1.9846511575755141
Whole body fat mass	Overall acceleration average	215/969	0.29710834562178484	0.5045354128826429	-0.045572047997004976	0.06815404263339558
Urate	Overall acceleration average	215/969	0.29445181804884085	0.5076310540385622	0.4463625807655913	0.6723697764214477
Leg predicted mass (left)	Overall acceleration average	215/969	0.2878151642606735	0.5154479725718655	-0.00870178807820844	0.013354134727567975
Direct bilirubin	Overall acceleration average	215/969	0.28773959601510707	0.5155376695162507	-0.00413792466593672	0.006349812045267167
Leg fat-free mass (right)	Overall acceleration average	215/969	0.2824992657475703	0.521795986427616	0.008928183402759944	0.01391111182501334
Platelet count	Body mass index (BMI)	935/969	0.28072025016071483	0.523937821311288	0.2655456571073868	0.41651239293061204
Inpatient record format	Overall acceleration average	215/969	0.2803178202348096	0.5244235423753383	-0.0822196377441178	0.12887352859574697
Hand grip strength (left)	Overall acceleration average	215/969	0.27740081747495327	0.527957766004916	0.05729543168525597	0.09061491793498379
Body fat percentage	Body mass index (BMI)	956/969	0.27719319947516097	0.5282102208366416	0.03795871207491146	0.060157452684188706
Headaches for 3+ months	Overall acceleration average	215/969	0.273299567735555	0.5329671384858856	0.004677064717843388	0.007441014914188894
Sources of admission to hospital (polymorphic)	Overall acceleration average	215/969	0.2728446894864078	0.5335256585133001	-0.01939114949058498	0.031074545335325856
Total bilirubin	Overall acceleration average	215/969	0.27264568657007004	0.5337701872732092	-0.019541013326487135	0.03134241183798593
Impedance of arm (left)	Body mass index (BMI)	956/969	0.27218251304960395	0.5343397549466493	-0.23442630597563785	0.377110729672604
Main speciality of consultant (recoded)	Body mass index (BMI)	725/969	0.26317568361639676	0.5455371322352093	2.0085765794104535	3.3212259044695527
Leg fat percentage (right)	Overall acceleration average	215/969	0.257304073672826	0.5529628136892706	0.04766697408249754	0.080192598234271
Forced expiratory volume in 1-second (FEV1)	Overall acceleration average	215/969	0.2570572137024892	0.5532772159957008	-0.00349658872622431	0.005886285345028869
Arm predicted mass (right)	Overall acceleration average	215/969	0.25411738707376	0.5570351654714925	-0.0033519518993941587	0.0056976100599805965
Arm fat percentage (right)	Overall acceleration average	215/969	0.2500402207581406	0.5622892482055581	-0.04190263159966499	0.07218607055440487
Mean reticulocyte volume	Body mass index (BMI)	915/969	0.25001193766685365	0.5623258680491319	0.03152416849617183	0.05438773845220142
Glycated haemoglobin (HbA1c)	Overall acceleration average	215/969	0.2490555633333925	0.5635655490297633	-0.029808015734325233	0.051512530472267504
IGF-1	Body mass index (BMI)	906/969	0.24751821704902593	0.5655640332698604	0.022403901657279294	0.03897523351828797
