Data_Field	Independent_Var	Samples	-log(p)	p-val	beta	std_error
Main speciality of consultant (recoded)	rs6426192_2	725/969	0.9186924698163694	0.12058895458830593	2305.593313253658	1483.3855334478533
Basophill count	rs6426192_2	932/969	0.8966153204400124	0.12687751953297857	0.22462724857371225	0.14700729698280524
IGF-1	rs6426192_2	906/969	0.8509646072045213	0.14094036529843337	27.08824345862182	18.381348444576606
Eosinophill count	rs6426192_2	932/969	0.832243069603534	0.14714886966954915	-0.5182292811262631	0.3571592820862205
Cancer diagnosed by doctor	rs6426192_2	967/969	0.8261479170955371	0.1492286062768773	-1.3958111143903005	0.9669652976571356
Intended management of patient (recoded)	rs6426192_2	727/969	0.8224161285598803	0.1505164169738097	-884.0203913187149	614.1783360000773
Platelet crit	rs6426192_2	936/969	0.8148222614581859	0.1531714199893405	-0.2188903009469633	0.15310572518501692
LDL direct	rs6426192_2	909/969	0.802608336666776	0.15754029825269353	3.992503881942568	2.8222668451928525
Fracture resulting from simple fall	rs6426192_2	100/969	0.7806984508421808	0.16569200343090598	9.504306955634455	6.798905887956304
Red blood cell (erythrocyte) count	rs6426192_2	935/969	0.7682894804573619	0.17049455729266133	1.7745441735983523	1.293635420159153
Alanine aminotransferase	rs6426192_2	909/969	0.7589373011432656	0.17420583552496333	-61.28117376077595	45.06106742224064
Basophill percentage	rs6426192_2	932/969	0.7579220942932205	0.1746135354478737	2.2370949245949743	1.6465688552577293
Number of self-reported non-cancer illnesses	rs6426192_2	968/969	0.7207575408162272	0.19021399157417418	8.423535091899046	6.425596868746477
Lymphocyte percentage	rs6426192_2	932/969	0.6899081056936989	0.20421700108168153	29.85220777549654	23.494844771407084
Eosinophill percentage	rs6426192_2	932/969	0.6806296369087433	0.20862692795511692	-6.4352036546515645	5.114259712778106
C-reactive protein	rs6426192_2	909/969	0.6790699632456323	0.20937751291988527	18.76792038742872	14.939814738235352
Wears glasses or contact lenses	rs6426192_2	967/969	0.6758415235238956	0.2109397740498758	1.4557305031972767	1.1628378704383542
Arm fat percentage (left)	rs6426192_2	956/969	0.6712213496989415	0.21319580272480182	41.41079196023161	33.24248406947599
Intended management of patient (polymorphic)	rs6426192_2	727/969	0.6712072185176161	0.21320273985545007	-7.269578459392599	5.8343854033814315
Ever had bowel cancer screening	rs6426192_2	967/969	0.6669237581603265	0.2153159695887861	1.9672730737625188	1.5865706865947093
Ever had prostate specific antigen (PSA) test	rs6426192_2	439/969	0.6602693292229683	0.21864052966311232	-3.3102341128472634	2.6867211509646363
White blood cell (leukocyte) count	rs6426192_2	935/969	0.6539566227737124	0.2218417983779033	7.3178789393331725	5.985897759255121
Body fat percentage	rs6426192_2	956/969	0.647851292811535	0.2249824838632617	34.15989549874682	28.132977330611773
Creatinine	rs6426192_2	909/969	0.6401976416020914	0.22898253467689442	66.12338114440894	54.92638800728982
Leg fat-free mass (left)	rs6426192_2	956/969	0.6400099749557728	0.2290815036301192	-7.695894066931066	6.3943098223494355
Eye problems/disorders	rs6426192_2	335/969	0.6331418225333727	0.23273311239104708	27.42875688802101	22.939335788373484
Peak expiratory flow (PEF)	rs6426192_2	881/969	0.6293599188118135	0.23476863841323806	520.133262704961	437.44053305572925
Inpatient record format	rs6426192_2	796/969	0.6239675323570237	0.23770179846839956	51.7363630480099	43.78115666894158
Glycated haemoglobin (HbA1c)	rs6426192_2	900/969	0.6237119677927225	0.2378417174323797	24.57284056452132	20.802491752106157
Lipoprotein A	rs6426192_2	734/969	0.6096708718880963	0.24565699108360137	198.14246325492425	170.5230427948064
Mean platelet (thrombocyte) volume	rs6426192_2	935/969	0.6013304486150144	0.25042031147183375	4.011013997112795	3.4875467134622378
Arm predicted mass (left)	rs6426192_2	956/969	0.6012930986537439	0.2504418489113594	-2.9273089778110144	2.5454272700414267
Forced vital capacity (FVC)	rs6426192_2	883/969	0.5972625395421179	0.25277694482072544	-5.497046490469	4.803268904264464
Reported occurrences of cancer	rs6426192_2	178/969	0.5925309307816032	0.2555459892795719	-5.745605948137667	5.035504693775093
Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor	rs6426192_2	967/969	0.5912198401521715	0.25631862215180873	-25.705726130483388	22.631120853445438
Interpolated Year when operation took place	rs6426192_2	760/969	0.578571883102482	0.2638931498296022	729.6086275094542	652.5290823792739
Diastolic blood pressure, automated reading	rs6426192_2	908/969	0.5771031501867913	0.26478711625210904	37.39068869342316	33.50757706154782
Operation code	rs6426192_2	758/969	0.5764696001899506	0.26517367031749994	43962.58486343701	39423.77915670356
Number of operations, self-reported	rs6426192_2	968/969	0.5640867965679505	0.27284324334024807	5.553894391250382	5.061838754095604
Vitamin D	rs6426192_2	865/969	0.5567306651586366	0.277504055800006	76.24002304203816	70.1587461963412
Leg fat-free mass (right)	rs6426192_2	956/969	0.5532828602776916	0.27971589090476656	6.8833933279887844	6.363986232779355
Impedance of arm (left)	rs6426192_2	956/969	0.5324651686986359	0.29345048477796776	-184.96677766037536	175.95716044812087
Fractured/broken bones in last 5 years	rs6426192_2	967/969	0.5131803641811191	0.3067747676299361	1.0950444658559568	1.0708499919875287
Glucose	rs6426192_2	825/969	0.5060414911082676	0.3118591629573513	3.7512193706109005	3.706753647705096
Taking other prescription medications	rs6426192_2	967/969	0.5030987087807732	0.31397949833157285	-1.6956097497303153	1.683036588241265
Cancer record format	rs6426192_2	176/969	0.5013915603477875	0.3152161349930368	-38.38456278811474	38.097331338440725
Urea	rs6426192_2	911/969	0.49462401596949124	0.32016657049931957	-4.509945911515296	4.533978777749828
Pulse wave Arterial Stiffness index	rs6426192_2	304/969	0.4919658942729036	0.32213217560606755	17.857036611917874	18.00429636301101
Nucleated red blood cell count	rs6426192_2	932/969	0.4825600948316399	0.3291848997270669	-0.10115514302035088	0.10361022327807229
Chest pain or discomfort when walking uphill or hurrying	rs6426192_2	122/969	0.4762630669354249	0.33399266802440186	-4.708676597263542	4.8522755184552455
High light scatter reticulocyte count	rs6426192_2	915/969	0.47241460670311985	0.3369654651747289	0.0300401671302069	0.03126838498038445
Hip circumference	rs6426192_2	968/969	0.4361496380883357	0.36631133870642885	26.542515758446307	29.365743998508815
Patient classification on admission (recoded)	rs6426192_2	789/969	0.4279768010290339	0.3732700964576442	-1380.135595690251	1549.129923046985
Chest pain or discomfort	rs6426192_2	967/969	0.4242712114509934	0.3764686256303422	-1.107891956441941	1.2520544583278488
Arm fat-free mass (left)	rs6426192_2	956/969	0.4215306011769289	0.3788518382202487	2.3657786868380892	2.687001288378447
Vitamin and mineral supplements	rs6426192_2	959/969	0.4158593911782767	0.3838314961121212	15.82306133062653	18.160566251715142
Long-standing illness, disability or infirmity	rs6426192_2	967/969	0.41314641408501246	0.3862367427656349	-1.4195518400670921	1.6375341934726508
Most recent bowel cancer screening	rs6426192_2	284/969	0.41028855883911597	0.38878673708672473	-36.58434650951632	42.37815562660255
Neutrophill percentage	rs6426192_2	933/969	0.4053911835120717	0.3931957513880435	22.545820510184736	26.39215806409968
Hearing difficulty/problems with background noise	rs6426192_2	967/969	0.39252731039885347	0.4050164750701384	-1.362162134603886	1.6350771498420371
Oestradiol	rs6426192_2	149/969	0.37566567848268456	0.42105063001018106	-3346.7484276690116	4146.73701506978
Gamma glutamyltransferase	rs6426192_2	910/969	0.37414006388969273	0.42253232180209677	-91.6559533192858	114.22352383103119
Impedance of whole body	rs6426192_2	956/969	0.353903736271337	0.44268648535035404	217.3683018316362	283.0287612416473
Knee pain for 3+ months	rs6426192_2	223/969	0.3484645192265365	0.4482656706853506	2.449875167968394	3.224346092076267
Sources of admission to hospital (polymorphic)	rs6426192_2	795/969	0.3335107324125558	0.4639693240944963	-12.92813771653105	17.644354637764515
Arm fat-free mass (right)	rs6426192_2	956/969	0.3298912453819643	0.46785228467360707	1.8852065895666352	2.5956695540283437
Pulse rate, automated reading	rs6426192_2	909/969	0.32372364601715237	0.474543855014418	26.612201359044292	37.197731073067324
Reason for glasses/contact lenses	rs6426192_2	190/969	0.31580883912549523	0.4832714740231244	6.1532689786232035	8.757850478420364
Vascular/heart problems diagnosed by doctor	rs6426192_2	967/969	0.3085215554256316	0.49144898740719345	-10.387008193230548	15.091084909363362
Trunk fat percentage	rs6426192_2	955/969	0.29619985455238634	0.5055919440917165	17.549663131125765	26.351333225421033
Time since last prostate specific antigen (PSA) test	rs6426192_2	138/969	0.28724553189196905	0.5161244916234681	35.62318355136225	54.70160558272036
Sources of admission to hospital (recoded)	rs6426192_2	795/969	0.28424770304206687	0.5196994975674206	-578.7769672986547	898.5571497081786
Treatment speciality of consultant (recoded)	rs6426192_2	796/969	0.28216320220845054	0.522199916197594	1531.1134432790088	2391.390229973175
Pregnant	rs6426192_2	528/969	0.28099025053706167	0.5236121910071466	0.2518101211518878	0.3945373213352796
Carer support indicators	rs6426192_2	689/969	0.2783599094343409	0.5267931153812999	109.58581777581848	173.0510981598464
Had major operations	rs6426192_2	440/969	0.27792108365136897	0.5273256739135591	1.6701643613894885	2.639974061968899
Medication for pain relief, constipation, heartburn	rs6426192_2	959/969	0.2766939403470891	0.5288177934038845	-9.339181085080488	14.822731477602932
Overall acceleration average	rs6426192_2	215/969	0.2723648455523417	0.5341154669117779	38.86933862037969	62.403403057979766
Apolipoprotein A	rs6426192_2	827/969	0.2719267160279359	0.5346545707780604	0.5749755563980967	0.9255961678934663
Diabetes diagnosed by doctor	rs6426192_2	967/969	0.2694057778316219	0.5377670914899121	0.4741857981511329	0.7692460178401747
Hip pain for 3+ months	rs6426192_2	113/969	0.2671752441604676	0.540536164703818	3.373801796344801	5.493792265619091
Medication for cholesterol, blood pressure or diabetes	rs6426192_2	433/969	0.26117403112380677	0.5480573025833859	11.124012375574432	18.50339712890155
Aspartate aminotransferase	rs6426192_2	908/969	0.2605317489274391	0.5488684293295121	17.89234461675487	29.835573651921088
Platelet count	rs6426192_2	935/969	0.25841393688136916	0.5515514912177135	-116.26584606603807	195.18541957770364
Whole body water mass	rs6426192_2	956/969	0.2518883100889703	0.5599015759622465	15.72537487063704	26.963604637334427
Leg pain on walking	rs6426192_2	309/969	0.2508246202057205	0.561274588050273	-1.4469673101810097	2.487752137667047
Treatment/medication code	rs6426192_2	683/969	0.2430143179899345	0.5714597962517618	705724656.0543185	1246430181.6721914
Neutrophill count	rs6426192_2	933/969	0.23877278732109522	0.5770682930158832	2.631951451290216	4.717750054626313
Impedance of leg (left)	rs6426192_2	956/969	0.23491985667484888	0.5822106471629991	64.06361711862068	116.40318166921986
High light scatter reticulocyte percentage	rs6426192_2	915/969	0.2221237429019925	0.599620202991449	-0.34707454767054435	0.6609142710614818
Apolipoprotein B	rs6426192_2	905/969	0.21577222008828822	0.6084540411812216	0.3972297699499236	0.775121468950836
Phosphate	rs6426192_2	827/969	0.21149599683540704	0.6144746956782745	0.2792126331405622	0.5541012572426901
Body mass index (BMI)	rs6426192_2	967/969	0.19439699304793648	0.6391503144957911	7.306047283533189	15.576396411655574
Heel bone mineral density (BMD) T-score, automated	rs6426192_2	556/969	0.18551977704773348	0.652349333419123	-2.15580970295166	4.782551609717183
Administrative and legal statuses	rs6426192_2	292/969	0.18073478434797322	0.6595765635563722	-19.398690355131677	43.9897877207485
Leg fat percentage (left)	rs6426192_2	956/969	0.17710381886371568	0.6651141404848242	15.13970257020133	34.96405495975877
Waist circumference	rs6426192_2	968/969	0.17553990011744075	0.6675135713952889	17.98104311761609	41.84516514135642
Methods of admission to hospital (recoded)	rs6426192_2	796/969	0.1676140344957856	0.6798075216979135	-429.01320195164703	1039.0520721521948
Systolic blood pressure, automated reading	rs6426192_2	909/969	0.16274366034919185	0.6874740976481395	26.91358270848258	66.87874197024607
Number of self-reported cancers	rs6426192_2	968/969	0.16175686875593415	0.6890379327552225	-0.4417227944210754	1.1035073632052088
Pace-maker	rs6426192_2	968/969	0.16163029544489602	0.6892387792464851	0.07319356166443344	0.18297610756522997
Whole body fat mass	rs6426192_2	957/969	0.1588100030626946	0.6937292351598923	-12.329772840744793	31.29964372798201
Leg fat percentage (right)	rs6426192_2	956/969	0.15376134519639612	0.7018408701656869	13.22709637841454	34.53909463215698
Cystatin C	rs6426192_2	911/969	0.15365792635166206	0.7020080199174765	0.21189224222089403	0.553618847873723
Spells in hospital	rs6426192_2	641/969	0.1476724972979066	0.7117500440577725	-8.80594230361562	23.8202546652059
HDL cholesterol	rs6426192_2	829/969	0.1476177011260037	0.7118398532539278	0.4495319294392385	1.2165197365705038
Overall health rating	rs6426192_2	967/969	0.14750139982613336	0.712030504965403	0.9346700678267474	2.531287055771559
Chest pain or discomfort walking normally	rs6426192_2	155/969	0.14395509195474246	0.7178685183373936	-1.537179888222106	4.2456395784756165
Interpolated Year when non-cancer illness first diagnosed	rs6426192_2	714/969	0.14176401537331462	0.721499417206185	-595.9741866688264	1671.2411235031739
Other serious medical condition/disability diagnosed by doctor	rs6426192_2	967/969	0.14002284964481226	0.7243978461462666	0.49471764150980346	1.4026685762527615
Back pain for 3+ months	rs6426192_2	260/969	0.1391459451479511	0.7258619897085292	-1.0601454750343167	3.0199491230484714
Reticulocyte percentage	rs6426192_2	916/969	0.13694918077686388	0.7295428731466209	-0.6319811401164555	1.8273423830063278
Arm predicted mass (right)	rs6426192_2	956/969	0.13264289938891835	0.7368126960697805	-0.8337655661608047	2.4801009339547537
Monocyte count	rs6426192_2	932/969	0.13088467032822063	0.7398017080408059	-0.23124488087891987	0.6960554323597827
Nucleated red blood cell percentage	rs6426192_2	932/969	0.13005408108876912	0.7412179344203201	0.49440908048322163	1.4966376552582468
Tinnitus	rs6426192_2	309/969	0.1291509500952097	0.7427609275700331	11.520090511838646	35.06749970039177
Shortness of breath walking on level ground	rs6426192_2	310/969	0.1277686753991449	0.7451287570164395	-0.7083809003384811	2.1770646238732465
Heel bone mineral density (BMD) T-score, automated (left)	rs6426192_2	291/969	0.12682278829467594	0.7467534052674105	-2.236313398498163	6.917978362045689
Weight	rs6426192_2	967/969	0.12417368877420491	0.7513223551840398	15.75321536060503	49.69576750802595
SHBG	rs6426192_2	823/969	0.12345412285817833	0.7525682242889398	-29.39092833178606	93.19550902237397
Direct bilirubin	rs6426192_2	806/969	0.11136130786255188	0.7738177583683123	-0.7686587331110435	2.6736965172344935
Had other major operations	rs6426192_2	528/969	0.10941889089767472	0.7772864717343759	0.630927243017098	2.2293232986800136
Hearing aid user	rs6426192_2	568/969	0.10327125674202504	0.7883675559535048	0.2760618997824319	1.0278997427706524
Weight change compared with 1 year ago	rs6426192_2	967/969	0.10268970976854777	0.7894239356311638	1.0597854789483923	3.9671814878844858
Mineral and other dietary supplements	rs6426192_2	959/969	0.0982070665707716	0.7976143033470573	3.401187203661292	13.259344589747226
Destinations on discharge from hospital (recoded)	rs6426192_2	788/969	0.09633196624029519	0.801065510437291	231.65094363185563	919.0317418598463
Leg predicted mass (left)	rs6426192_2	956/969	0.09285529157461123	0.8075040485729073	1.4878667048789591	6.104826342243659
Leg fat mass (right)	rs6426192_2	956/969	0.08959801456858577	0.8135832249941244	1.4526664209777447	6.158606302826575
Non-cancer illness code, self-reported	rs6426192_2	714/969	0.08933332240707195	0.8140792357651211	12823.030230964456	54505.644963467996
Urate	rs6426192_2	909/969	0.08664062585854104	0.8191423394812558	60.217593233318375	263.2814067313301
Number of treatments/medications taken	rs6426192_2	968/969	0.08640539423756419	0.8195861405924225	1.9873206075462932	8.710820856054816
Reticulocyte count	rs6426192_2	915/969	0.08587595592307355	0.8205858882787054	0.019231252418190726	0.08477087815681673
Arm fat mass (right)	rs6426192_2	956/969	0.08371705768485661	0.8246752149115117	-0.4705211093260375	2.1232784034824284
Alkaline phosphatase	rs6426192_2	910/969	0.06778235272679892	0.8554953381306468	14.300231142756855	78.50071154740164
Cholesterol	rs6426192_2	910/969	0.0674173998812976	0.8562145429341115	0.6856943944082587	3.783139691765161
Hand grip strength (left)	rs6426192_2	965/969	0.06420456263649522	0.8625721608445683	6.297606277204576	36.37071067339708
Lymphocyte count	rs6426192_2	933/969	0.06181166547315836	0.8673379207462004	0.363174271714616	2.173521799876828
Pain type(s) experienced in last month	rs6426192_2	967/969	0.05729362022197623	0.8764080939542409	-2.557933120132239	16.44249474840823
Leg fat mass (left)	rs6426192_2	958/969	0.05505163720772461	0.8809441233484556	0.9268720270737713	6.1867585602737165
Trunk fat-free mass	rs6426192_2	955/969	0.05325732111770682	0.8845913308293314	2.7747563402355886	19.110807464801827
Neck/shoulder pain for 3+ months	rs6426192_2	219/969	0.04827054731437064	0.8948071644143826	-0.4134356284535408	3.1226649426936226
Methods of discharge from hospital (polymorphic)	rs6426192_2	796/969	0.048167302609744105	0.8950199119562721	0.8434236213901843	6.389544978499484
Other eye problems	rs6426192_2	967/969	0.047946162306292	0.8954757671026539	-0.17911075993554582	1.3629317833528565
Monocyte percentage	rs6426192_2	933/969	0.04189863893429689	0.9080324333894645	1.0677610100491854	9.240335267009675
Arm fat mass (left)	rs6426192_2	956/969	0.038555461456325456	0.9150493956902028	-0.24401219068060448	2.286856243035068
Hearing difficulty/problems	rs6426192_2	959/969	0.03689276100787001	0.9185593855080882	-0.16405054374032346	1.6039746023720383
Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones	rs6426192_2	526/969	0.027558485263166652	0.93851564079885	-1.4123890819530593	18.30092898056899
Arm fat percentage (right)	rs6426192_2	956/969	0.026210321563890967	0.9414335655559234	-2.3838381309343504	32.43804714500965
Method of recording time when non-cancer illness first diagnosed	rs6426192_2	714/969	0.020326704498020334	0.9542744487611651	-0.18552603350610392	3.2343274574269993
Impedance of leg (right)	rs6426192_2	956/969	0.016448303257704182	0.9628346182763788	5.21764753106072	111.94292949852473
Method of measuring blood pressure	rs6426192_2	968/969	0.014562659710539745	0.9670241949956462	0.034097390235095615	0.8245583493710394
Trunk fat mass	rs6426192_2	955/969	0.01145203022594649	0.9739753593358332	-0.5306895336447801	16.262851339993436
Hand grip strength (right)	rs6426192_2	966/969	0.009030722505721489	0.9794206975784954	0.9236631550316546	35.79760895665971
